Date,1 mo,2 mo,3 mo,6 mo,1 yr,2 yr,3 yr,5 yr,7 yr,10 yr,20 yr,30 yr
01/03/11,0.11,,0.15,0.19,0.29,0.61,1.03,2.02,2.74,3.36,4.18,4.39
01/04/11,0.12,,0.14,0.19,0.28,0.63,1.04,2.01,2.72,3.36,4.21,4.44
01/05/11,0.13,,0.14,0.19,0.31,0.71,1.16,2.14,2.86,3.5,4.34,4.55
01/06/11,0.13,,0.15,0.18,0.3,0.68,1.11,2.09,2.8,3.44,4.31,4.53
01/07/11,0.13,,0.14,0.18,0.29,0.6,1.02,1.96,2.69,3.34,4.25,4.48
01/10/11,0.14,,0.15,0.18,0.29,0.59,0.99,1.93,2.65,3.32,4.23,4.47
01/11/11,0.15,,0.15,0.19,0.28,0.6,1.03,1.98,2.7,3.37,4.26,4.49
01/12/11,0.15,,0.15,0.18,0.26,0.61,1.03,1.99,2.71,3.4,4.28,4.52
01/13/11,0.15,,0.15,0.18,0.26,0.59,1.0,1.93,2.65,3.34,4.24,4.5
01/14/11,0.14,,0.15,0.18,0.27,0.59,1.0,1.95,2.66,3.35,4.27,4.53
01/18/11,0.15,,0.16,0.19,0.26,0.6,1.0,1.97,2.7,3.39,4.31,4.56
01/19/11,0.16,,0.16,0.19,0.27,0.6,0.98,1.95,2.69,3.37,4.27,4.53
01/20/11,0.15,,0.16,0.19,0.27,0.65,1.07,2.06,2.81,3.47,4.36,4.6
01/21/11,0.15,,0.16,0.19,0.27,0.63,1.05,2.04,2.77,3.44,4.33,4.57
01/24/11,0.15,,0.16,0.18,0.28,0.65,1.05,2.03,2.76,3.43,4.31,4.55
01/25/11,0.15,,0.16,0.18,0.27,0.62,1.0,1.96,2.68,3.35,4.23,4.48
01/26/11,0.15,,0.16,0.18,0.27,0.62,1.05,2.03,2.76,3.45,4.34,4.59
01/27/11,0.13,,0.15,0.17,0.25,0.59,1.0,1.98,2.75,3.42,4.31,4.57
01/28/11,0.13,,0.15,0.15,0.24,0.54,0.96,1.92,2.66,3.36,4.26,4.53
